n_iterations,ant colony size size,archive size,locality of search,speed of convergence
40,2,50,0.85,0.001
Least Loss,Mean Loss,Max Loss
11.628856682906102,11.628856682906102,37.741837053359156
11.628856682906102,11.628856682906102,35.466982997020345
11.628856682906102,11.628856682906102,35.032094817969
11.628856682906102,11.628856682906102,33.027862610734516
11.628856682906102,11.628856682906102,31.94273076141615
11.628856682906102,11.628856682906102,30.393944389351336
11.628856682906102,11.628856682906102,28.642797642829038
11.628856682906102,11.628856682906102,28.362695202762794
11.628856682906102,11.628856682906102,27.853027598690385
11.628856682906102,11.628856682906102,27.046302098445164
11.628856682906102,11.628856682906102,22.238695145395546
11.628856682906102,11.628856682906102,21.621226858563322
11.628856682906102,11.628856682906102,20.57834939563999
11.628856682906102,11.628856682906102,19.61043489028031
11.628856682906102,11.628856682906102,18.656109633094225
11.628856682906102,11.628856682906102,18.486914166373538
11.628856682906102,11.628856682906102,18.480355095628287
11.628856682906102,11.628856682906102,17.5802208459865
11.628856682906102,11.628856682906102,17.363579033298244
11.628856682906102,11.628856682906102,17.36204596772577
11.628856682906102,11.628856682906102,17.1252483676381
11.628856682906102,11.628856682906102,16.667688787235008
11.628856682906102,11.628856682906102,16.608379657498727
11.628856682906102,11.628856682906102,16.260767842112195
11.628856682906102,11.628856682906102,16.041147108045696
11.628856682906102,11.628856682906102,15.899626481191623
11.628856682906102,11.628856682906102,15.885047865016867
11.628856682906102,11.628856682906102,15.881274459506747
11.616115782962703,11.616115782962703,15.73793597568995
11.616115782962703,11.616115782962703,15.068051057794495
11.616115782962703,11.616115782962703,15.063492973136698
11.616115782962703,11.616115782962703,15.061460215926799
11.616115782962703,11.616115782962703,15.056827797931648
11.616115782962703,11.616115782962703,15.055676605784994
11.616115782962703,11.616115782962703,15.048076370536101
11.61076549366702,11.61076549366702,15.04346193739988
11.61076549366702,11.61076549366702,15.038155075572796
11.61076549366702,11.61076549366702,15.030478154989472
11.61076549366702,11.61076549366702,15.023892015951562
11.61076549366702,11.61076549366702,14.847692859769555
